"subscribers","video_count","actor","channel_id","view_count","username"
"298","6","Frente Brasil Popular","UCX2Aanu4fGewmhP4rf5GQ3Q","1857",""
"","","Frente Povo Sem Medo","","",""
"","","# Ocupa Política","","",""
"173","106","Movimento Agora!","UC5AH5khzIk15T0waSp-ayCg","7390",""
"90","4","Movimento Muitxs","UCVoyVm_HowbEYG7Wqptx5eA","3737",""
"","","Bancada Ativista","","",""
"","","RenovaBR","","",""
"","","Frente Nacional Contra a censura","","",""
"","","Frente Autônoma LGBT","","",""
"","","Frente Nacional pela legalização do aborto","","",""
"47477","412","Mídia Ninja","UCwefw3viiiaxprsV6jgJvEA","2150781","midianinjafly"
"4346","180","342 Artes","UCZFvLA3k9cw7nO-4r4FSOwA","311588",""
"","","MTST - Movimento 
Trabalhadores Sem-Teto","","",""
"","","MST - Movimento dos
Trabalhadores Sem Terra","","",""
"","","MPL - Movimento Passe Livre","","",""
"","","MLB - Movimento de Luta
nos Bairros, Vilas e Favelas","","",""
"2919","427","UNE - União Nacional dos Estudantes","UCI9UhLCYUB8v82jdVvJMnuA","317453","uneoficial"
"","","CUT - Central Única dos
Trabalhadores","","",""
"2707","156","Levante Popular da Juventude","UCmo_qwwtofscJjjND_Pm-UA","213440",""
"954","242","Juntos","UCmZp0eVq7fpxKHHvncJHSrg","195965","jornaljuntos"
"257","41","MAIS","UCXrqijOy0tezQ8_-0OCqAPw","12464",""
"77","1","Movimento Correnteza","UCH2R0pAFyqnCtp253XVYq-w","1199",""
"1318","56","UJS - União da Juventude Socialista","UCz0799M83kYvb6qBkHxTWFQ","76389",""
"","","UJR Brasil","","",""
"","","Movimento de Mulheres Olga
Benário - Nacional","","",""
"","","Faísca - Anticapitalista e Revolucionária","","",""
"2","7","Pão e Rosas Brasil","UCDyMmoCj1jvF8ooGs_SQbJg","278",""
"","","MRT - Movimento Revolucionário
dos Trabalhadores","","",""
"","","UBES - União Brasileira 
Estudantes Secundaristas","","",""
"","","União da Juventude Comunista
 - UJC Brasil","","",""
"95","4","RUA - Juventude Anticapitalista","UCTSv82hMEIFnJjCOHzizVzw","7335",""
"","","Afronte","","",""
"","","União Brasileira de Mulheres UBM","","",""
"","","Movimento dos Atingidos 
por Barragens (MAB)","","",""
"593","193","Contag","UCfi7PCkseJNwGbaD0X-mAXA","74579","ContagBrasil"
"298","1","Geledés Mulher Negra","UCO9-aYrQfWP1Mm0A0hJdbMA","213",""
"806","120","Marcha das Mulheres","UCh0Eth5qo5-S1IMigJhTLdg","312277","mulheresemmarcha"
"3083","30","Não Me Khalo","UCLMp2AgzSZrEZhz1XzJXeXw","157679",""
"1935","80","Vem Pra Rua","UCNORbWRHIwZuCiHz2Ukh6Nw","73571",""
"42243","869","Revoltados Online","UCVo8EvHIDfSaBQT3gSFUyxQ","7587812","revoltadosonline"
"44481","778","Estudantes Pela Liberdade","UCWU5PdQ9Ec5eZleRm6Qd-Ig","5267150","libertarianismoplus"
"695","5","Escola Sem Partido","UCTLIxRJaYAtf44baTh0MN6A","93165",""
"","","Instituto Mercado Popular","","",""
"","","Libertarianismo +","","",""
"304870","1126","Movimento Brasil Livre","UC8QAdpiEWAOg3AOCCFDCOYw","35192563",""
"27150","70","Movimento Contra a Corrupção","UCvo3PC2zBfG1IsCWVJVn6pw","1670971","canalcontracorrupcao"
"","","Livres","","",""
"20757","707","Nas Ruas","UCX9VzlP1DyeasSivEr9Eddw","2258914","nasruastv"
"9921","269","Lula","UCs6avCwreiI6QoFR83Ul2UQ","2472578","icidadania"
"","","Fernando Haddad","","",""
"18179","132","Ciro Gomes","UCz0i4BaFbRuLun82sl5yWLw","1546238",""
"","","Dória","","",""
"","","Alckmin","","",""
"519261","758","Bolsonaro","UC8hGUtfEgvvnp6IaHSAg1OQ","37339951","jbolsonaro"
"","","Henrique Meirelles","","",""
"0","980","Temer","UCI1scpqZalSY96yDKAp0afQ","420549","MichelTemer"
"13294","872","Marina Silva","UC9uefWa6TXIPDRWGZYMcTuA","4282389","msilvaonline"
"2851","344","Levy Fidelix","UCHn-xluSQGIiknQ56iNTNdA","223034",""
"491","137","Everaldo","UClHDtWJ0HwBMD6j36C24w9A","170365","BlogdoEveraldo"
"","","Flávio Rocha","","",""
"1878","23","Roberto Justus Ofici","UCLWVlQxY7Dc4OFhc08Qjf9A","419912","robertoljustus"
"537","46","Guilherme Boulos","UCFwzvNKpQWKMbiOHJ26IEnQ","9015",""
"","","Jaques Wagner","","",""
"875","312","Fernando Collor de Mello","UCz05q_SCq3cTuH4DPaw8OSw","298867","adicollor"
"","","Celso Amorim","","",""
"2283","305","Cristovam Buarque","UCnBgXZ4kWgrOY-6PA1A6PmQ","340865","cristovambuarque"
"","","Joaquim Barbosa","","",""
