"actor","subscribers","channel_id","video_count","username","view_count"
"Frente Brasil Popular","288","UCX2Aanu4fGewmhP4rf5GQ3Q","6","","1851"
"Frente Povo Sem Medo","","","","",""
"# Ocupa Política","","","","",""
"Movimento Agora!","162","UC5AH5khzIk15T0waSp-ayCg","98","","7068"
"Movimento Muitxs","91","UCVoyVm_HowbEYG7Wqptx5eA","4","","3720"
"Bancada Ativista","","","","",""
"RenovaBR","","","","",""
"Frente Nacional Contra a censura","","","","",""
"Frente Autônoma LGBT","","","","",""
"Frente Nacional pela legalização do aborto","","","","",""
"Mídia Ninja","46602","UCwefw3viiiaxprsV6jgJvEA","409","midianinjafly","2113253"
"342 Artes","4323","UCZFvLA3k9cw7nO-4r4FSOwA","180","","309811"
"MTST - Movimento 
Trabalhadores Sem-Teto","","","","",""
"MST - Movimento dos
Trabalhadores Sem Terra","","","","",""
"MPL - Movimento Passe Livre","","","","",""
"MLB - Movimento de Luta
nos Bairros, Vilas e Favelas","","","","",""
"UNE - União Nacional dos Estudantes","2916","UCI9UhLCYUB8v82jdVvJMnuA","427","uneoficial","316218"
"CUT - Central Única dos
Trabalhadores","","","","",""
"Levante Popular da Juventude","2676","UCmo_qwwtofscJjjND_Pm-UA","156","","212530"
"Juntos","954","UCmZp0eVq7fpxKHHvncJHSrg","242","jornaljuntos","195814"
"MAIS","257","UCXrqijOy0tezQ8_-0OCqAPw","41","","12381"
"Movimento Correnteza","73","UCH2R0pAFyqnCtp253XVYq-w","1","","1165"
"UJS - União da Juventude Socialista","1299","UCz0799M83kYvb6qBkHxTWFQ","56","","75953"
"UJR Brasil","","","","",""
"Movimento de Mulheres Olga
Benário - Nacional","","","","",""
"Faísca - Anticapitalista e Revolucionária","","","","",""
"Pão e Rosas Brasil","2","UCDyMmoCj1jvF8ooGs_SQbJg","7","","278"
"MRT - Movimento Revolucionário
dos Trabalhadores","","","","",""
"UBES - União Brasileira 
Estudantes Secundaristas","","","","",""
"União da Juventude Comunista
 - UJC Brasil","","","","",""
"RUA - Juventude Anticapitalista","95","UCTSv82hMEIFnJjCOHzizVzw","4","","7333"
"Afronte","","","","",""
"União Brasileira de Mulheres UBM","","","","",""
"Movimento dos Atingidos 
por Barragens (MAB)","","","","",""
"Contag","587","UCfi7PCkseJNwGbaD0X-mAXA","193","ContagBrasil","73986"
"Geledés Mulher Negra","148","UCO9-aYrQfWP1Mm0A0hJdbMA","1","","275"
"Marcha das Mulheres","805","UCh0Eth5qo5-S1IMigJhTLdg","120","mulheresemmarcha","311487"
"Não Me Khalo","3073","UCLMp2AgzSZrEZhz1XzJXeXw","30","","156743"
"Vem Pra Rua","1909","UCNORbWRHIwZuCiHz2Ukh6Nw","80","","73380"
"Revoltados Online","42079","UCVo8EvHIDfSaBQT3gSFUyxQ","860","revoltadosonline","7565837"
"Estudantes Pela Liberdade","44433","UCWU5PdQ9Ec5eZleRm6Qd-Ig","778","libertarianismoplus","5256710"
"Escola Sem Partido","684","UCTLIxRJaYAtf44baTh0MN6A","5","","92249"
"Instituto Mercado Popular","","","","",""
"Libertarianismo +","","","","",""
"Movimento Brasil Livre","295741","UC8QAdpiEWAOg3AOCCFDCOYw","1112","","34015396"
"Movimento Contra a Corrupção","26997","UCvo3PC2zBfG1IsCWVJVn6pw","70","canalcontracorrupcao","1663922"
"Livres","","","","",""
"Nas Ruas","19712","UCX9VzlP1DyeasSivEr9Eddw","695","nasruastv","2210100"
"Lula","9868","UCs6avCwreiI6QoFR83Ul2UQ","269","icidadania","2469986"
"Fernando Haddad","","","","",""
"Ciro Gomes","17899","UCz0i4BaFbRuLun82sl5yWLw","132","","1531221"
"Dória","","","","",""
"Alckmin","","","","",""
"Bolsonaro","515422","UC8hGUtfEgvvnp6IaHSAg1OQ","741","jbolsonaro","36951716"
"Henrique Meirelles","","","","",""
"Temer","0","UCI1scpqZalSY96yDKAp0afQ","978","MichelTemer","418317"
"Marina Silva","13209","UC9uefWa6TXIPDRWGZYMcTuA","872","msilvaonline","4275536"
"Levy Fidelix","2833","UCHn-xluSQGIiknQ56iNTNdA","344","","222479"
"Everaldo","491","UClHDtWJ0HwBMD6j36C24w9A","137","BlogdoEveraldo","170063"
"Flávio Rocha","","","","",""
"Roberto Justus Ofici","1872","UCLWVlQxY7Dc4OFhc08Qjf9A","23","robertoljustus","419059"
"Guilherme Boulos","404","UCFwzvNKpQWKMbiOHJ26IEnQ","42","","4914"
"Jaques Wagner","","","","",""
"Fernando Collor de Mello","872","UCz05q_SCq3cTuH4DPaw8OSw","312","adicollor","297846"
"Celso Amorim","","","","",""
"Cristovam Buarque","2288","UCnBgXZ4kWgrOY-6PA1A6PmQ","305","cristovambuarque","340150"
"Joaquim Barbosa","","","","",""
